         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1021998    0.589    0.000    0.589    0.000 numerictypes.py:1013(<listcomp>)
  1022976    0.562    0.000    0.562    0.000 {method 'conj' of 'numpy.ndarray' objects}
  2742255    0.556    0.000    0.556    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
  1021998    0.526    0.000    0.526    0.000 blas.py:277(<listcomp>)
  1021998    0.493    0.000    0.995    0.000 base.py:1187(isspmatrix)
  1022397    0.492    0.000    0.492    0.000 {method 'index' of 'list' objects}
  1021998    0.457    0.000    0.643    0.000 core.py:6198(isMaskedArray)
    99900    0.396    0.000    0.396    0.000 {method 'astype' of 'numpy.generic' objects}
  1022024    0.369    0.000    0.369    0.000 {method 'pop' of 'dict' objects}
   199800    0.288    0.000    0.288    0.000 _internal.py:247(__init__)
   599400    0.274    0.000    3.357    0.000 _methods.py:25(_amax)
   201800    0.226    0.000    0.880    0.000 fromnumeric.py:163(reshape)
  1021998    0.212    0.000    0.212    0.000 misc.py:177(_datacopied)
   302700    0.194    0.000    0.542    0.000 fromnumeric.py:1190(squeeze)
  1021998    0.170    0.000    0.170    0.000 numerictypes.py:1014(<listcomp>)
  1019979    0.160    0.000    0.160    0.000 linalg.py:129(_linalgRealType)
   201800    0.121    0.000    0.121    0.000 fromnumeric.py:1613(shape)
   100900    0.118    0.000    0.171    0.000 <ipython-input-19-9a4bdd866411>:24(<lambda>)
        1    0.086    0.086   20.957   20.957 EnKS.py:13(_EnKF)
   199800    0.043    0.000    0.043    0.000 _internal.py:272(get_data)
     3189    0.039    0.000    0.078    0.000 _methods.py:53(_mean)
      999    0.035    0.000    0.051    0.000 linalg.py:1299(svd)
        1    0.026    0.026   21.204   21.204 EnKS.py:45(_EnKS)
      253    0.021    0.000    0.021    0.000 {built-in method builtins.dir}
      219    0.015    0.000    0.015    0.000 {built-in method posix.urandom}
      999    0.013    0.000    0.077    0.000 utils.py:37(inv_svd)
      234    0.009    0.000    0.044    0.000 traitlets.py:224(getmembers)
 1852/421    0.008    0.000    0.022    0.000 jsonutil.py:109(json_clean)
      223    0.008    0.000    0.008    0.000 socket.py:333(send)
        1    0.008    0.008 1357.262 1357.262 <string>:3(<module>)
      844    0.007    0.000    0.011    0.000 encoder.py:204(iterencode)
     3189    0.005    0.000    0.007    0.000 _methods.py:43(_count_reduce_items)
      234    0.005    0.000    0.009    0.000 traitlets.py:1421(<listcomp>)
13570/12445    0.005    0.000    0.023    0.000 traitlets.py:545(__get__)
     3599    0.004    0.000    0.008    0.000 abc.py:180(__instancecheck__)
     3185    0.004    0.000    0.082    0.000 {method 'mean' of 'numpy.ndarray' objects}
     7093    0.003    0.000    0.003    0.000 _weakrefset.py:70(__contains__)
7566/7225    0.003    0.000    0.018    0.000 traitlets.py:526(get)
